driver,baseline_uplift_eur,a_label,a_uplift_eur,b_label,b_uplift_eur,low_uplift_eur,high_uplift_eur,downside_eur,upside_eur,swing_eur
Capital budget,159966.19,-25%,128265.67,+25%,170201.03,128265.67,170201.03,31700.52,10234.84,41935.36
Shelf capacity,159966.19,-25%,142304.88,+25%,182007.6,142304.88,182007.6,17661.31,22041.41,39702.72
Unit cost,159966.19,+8%,139487.29,-8%,179060.65,139487.29,179060.65,20478.9,19094.46,39573.36
Elasticity estimate,159966.19,-20%,170865.55,+20%,149622.43,149622.43,170865.55,10343.76,10899.36,21243.12
Demand level,159966.19,-15%,147311.0,+15%,166689.53,147311.0,166689.53,12655.19,6723.34,19378.53
Price guardrail,159966.19,band 10%,150516.07,band 20%,167663.23,150516.07,167663.23,9450.12,7697.04,17147.16
Decline risk,159966.19,+30%,157317.17,-30%,158544.6,157317.17,158544.6,2649.02,-1421.59,1227.43
Promo budget,159966.19,-25%,159868.21,+25%,160006.61,159868.21,160006.61,97.98,40.42,138.4
